"TimeCreated","ProviderName","Id","LevelDisplayName","Message"
"05/18/2026 10:36:18 AM","Microsoft-Windows-Security-SPP","16384","Information","Successfully scheduled Software Protection service for re-start at 2126-04-24T07:36:18Z. Reason: RulesEngine."
"05/18/2026 10:35:48 AM","Microsoft-Windows-Security-SPP","16394","Information","Offline downlevel migration succeeded."
"05/18/2026 10:11:06 AM","Alloy","1","Information","ts=2026-05-18T07:11:06.5171075Z level=info msg=""series GC completed"" component_path=/ component_id=prometheus.remote_write.metrics_service subcomponent=wal duration=1.524ms
"
"05/18/2026 10:00:44 AM","edgeupdate","0","Information","Service stopped."
"05/18/2026 9:42:21 AM","Microsoft-Windows-Security-SPP","16384","Information","Successfully scheduled Software Protection service for re-start at 2126-04-24T06:42:21Z. Reason: RulesEngine."
"05/18/2026 9:41:48 AM","Microsoft-Windows-Security-SPP","16394","Information","Offline downlevel migration succeeded."
"05/18/2026 9:07:05 AM","Alloy","1","Information","ts=2026-05-18T06:07:05.6660137Z level=info msg=""usage report sent with success""
"
"05/18/2026 9:07:05 AM","Alloy","1","Information","ts=2026-05-18T06:07:05.329764Z level=info msg=""reporting Alloy stats"" date=2026-05-18T09:07:05.329+03:00
"
"05/18/2026 9:06:08 AM","VBScriptDeprecationAlert","4096",,
"05/18/2026 9:05:53 AM","Microsoft-Windows-RestartManager","10001","Information","Ending session 1 started ‎2026‎-‎05‎-‎18T05:54:45.673995800Z."
"05/18/2026 8:54:45 AM","Microsoft-Windows-RestartManager","10000","Information","Starting session 1 - ‎2026‎-‎05‎-‎18T05:54:45.673995800Z."
"05/18/2026 8:11:06 AM","Alloy","1","Information","ts=2026-05-18T05:11:06.5127786Z level=info msg=""WAL checkpoint complete"" component_path=/ component_id=prometheus.remote_write.metrics_service subcomponent=wal first=97 last=98 duration=66.4674ms
"
"05/18/2026 8:11:06 AM","Alloy","1","Information","ts=2026-05-18T05:11:06.4565367Z level=info msg=""Creating checkpoint"" component_path=/ component_id=prometheus.remote_write.metrics_service subcomponent=wal from_segment=97 to_segment=98 mint=1779080754000
"
"05/18/2026 8:11:06 AM","Alloy","1","Information","ts=2026-05-18T05:11:06.4471192Z level=info msg=""series GC completed"" component_path=/ component_id=prometheus.remote_write.metrics_service subcomponent=wal duration=808µs
"
"05/18/2026 7:19:38 AM","Microsoft-Windows-Security-SPP","16384","Information","Successfully scheduled Software Protection service for re-start at 2126-04-24T04:19:38Z. Reason: RulesEngine."
"05/18/2026 7:19:08 AM","Microsoft-Windows-Security-SPP","16394","Information","Offline downlevel migration succeeded."
"05/18/2026 7:18:35 AM","Microsoft-Windows-Security-SPP","16384","Information","Successfully scheduled Software Protection service for re-start at 2126-04-24T04:18:35Z. Reason: RulesEngine."
"05/18/2026 7:18:03 AM","Microsoft-Windows-Security-SPP","16394","Information","Offline downlevel migration succeeded."
"05/18/2026 7:12:33 AM","Microsoft-Windows-Security-SPP","16384","Information","Successfully scheduled Software Protection service for re-start at 2126-04-24T04:12:32Z. Reason: RulesEngine."
"05/18/2026 7:12:01 AM","Microsoft-Windows-Security-SPP","16394","Information","Offline downlevel migration succeeded."
"05/18/2026 7:10:41 AM","Microsoft-Windows-Security-SPP","16384","Information","Successfully scheduled Software Protection service for re-start at 2126-04-24T04:10:41Z. Reason: RulesEngine."
"05/18/2026 7:10:10 AM","Microsoft-Windows-Security-SPP","16394","Information","Offline downlevel migration succeeded."
"05/18/2026 6:44:47 AM","Microsoft UET SDK","0",,
"05/18/2026 6:44:47 AM","Microsoft UET SDK","0",,
"05/18/2026 6:44:46 AM","Microsoft UET SDK","0",,
"05/18/2026 6:36:44 AM","Microsoft-Windows-Security-SPP","16384","Information","Successfully scheduled Software Protection service for re-start at 2126-04-24T03:35:44Z. Reason: RulesEngine."
"05/18/2026 6:36:13 AM","Microsoft-Windows-Security-SPP","16394","Information","Offline downlevel migration succeeded."
"05/18/2026 6:18:42 AM","Microsoft-Windows-Security-SPP","16384","Information","Successfully scheduled Software Protection service for re-start at 2126-04-24T03:18:42Z. Reason: RulesEngine."
"05/18/2026 6:18:12 AM","Microsoft-Windows-Security-SPP","16394","Information","Offline downlevel migration succeeded."
"05/18/2026 6:17:29 AM","VBScriptDeprecationAlert","4096",,
"05/18/2026 6:11:07 AM","Alloy","1","Information","ts=2026-05-18T03:11:07.5075077Z level=info msg=""series GC completed"" component_path=/ component_id=prometheus.remote_write.metrics_service subcomponent=wal duration=1.0057ms
"
"05/18/2026 5:53:58 AM","Microsoft-Windows-Security-SPP","16384","Information","Successfully scheduled Software Protection service for re-start at 2126-04-24T02:53:58Z. Reason: RulesEngine."
"05/18/2026 5:53:28 AM","Microsoft-Windows-Security-SPP","16394","Information","Offline downlevel migration succeeded."
"05/18/2026 5:36:19 AM","Microsoft-Windows-Security-SPP","16384","Information","Successfully scheduled Software Protection service for re-start at 2126-04-24T02:36:19Z. Reason: RulesEngine."
"05/18/2026 5:35:49 AM","Microsoft-Windows-Security-SPP","16394","Information","Offline downlevel migration succeeded."
"05/18/2026 5:19:21 AM","Microsoft-Windows-Security-SPP","16384","Information","Successfully scheduled Software Protection service for re-start at 2126-04-24T02:19:21Z. Reason: RulesEngine."
"05/18/2026 5:18:51 AM","Microsoft-Windows-Security-SPP","16394","Information","Offline downlevel migration succeeded."
"05/18/2026 5:09:50 AM","Microsoft-Windows-Security-SPP","16384","Information","Successfully scheduled Software Protection service for re-start at 2126-04-24T02:09:50Z. Reason: RulesEngine."
"05/18/2026 5:09:19 AM","Microsoft-Windows-Security-SPP","16394","Information","Offline downlevel migration succeeded."
"05/18/2026 5:07:06 AM","Alloy","1","Information","ts=2026-05-18T02:07:06.7439381Z level=info msg=""usage report sent with success""
"
"05/18/2026 5:07:06 AM","Alloy","1","Information","ts=2026-05-18T02:07:06.3923923Z level=info msg=""reporting Alloy stats"" date=2026-05-18T05:07:06.392+03:00
"
"05/18/2026 4:40:18 AM","Microsoft-Windows-Security-SPP","16384","Information","Successfully scheduled Software Protection service for re-start at 2126-04-24T01:40:18Z. Reason: RulesEngine."
"05/18/2026 4:39:48 AM","Microsoft-Windows-Security-SPP","16394","Information","Offline downlevel migration succeeded."
"05/18/2026 4:30:09 AM","Microsoft-Windows-Security-SPP","16384","Information","Successfully scheduled Software Protection service for re-start at 2126-04-24T01:30:09Z. Reason: RulesEngine."
"05/18/2026 4:29:39 AM","Microsoft-Windows-Security-SPP","16394","Information","Offline downlevel migration succeeded."
"05/18/2026 4:11:07 AM","Alloy","1","Information","ts=2026-05-18T01:11:07.5058322Z level=info msg=""WAL checkpoint complete"" component_path=/ component_id=prometheus.remote_write.metrics_service subcomponent=wal first=94 last=96 duration=112.01ms
"
"05/18/2026 4:11:07 AM","Alloy","1","Information","ts=2026-05-18T01:11:07.397886Z level=info msg=""Creating checkpoint"" component_path=/ component_id=prometheus.remote_write.metrics_service subcomponent=wal from_segment=94 to_segment=96 mint=1779066355000
"
"05/18/2026 4:11:07 AM","Alloy","1","Information","ts=2026-05-18T01:11:07.3959424Z level=info msg=""series GC completed"" component_path=/ component_id=prometheus.remote_write.metrics_service subcomponent=wal duration=2.1202ms
"
"05/18/2026 4:07:55 AM","Microsoft-Windows-Security-SPP","16384","Information","Successfully scheduled Software Protection service for re-start at 2126-04-24T01:07:55Z. Reason: RulesEngine."
"05/18/2026 4:07:25 AM","Microsoft-Windows-Security-SPP","16394","Information","Offline downlevel migration succeeded."
"05/18/2026 4:00:58 AM","Microsoft-Windows-Security-SPP","16384","Information","Successfully scheduled Software Protection service for re-start at 2126-04-24T01:00:58Z. Reason: RulesEngine."
"05/18/2026 4:00:27 AM","Microsoft-Windows-Security-SPP","16394","Information","Offline downlevel migration succeeded."
"05/18/2026 3:41:43 AM","Microsoft-Windows-Security-SPP","16384","Information","Successfully scheduled Software Protection service for re-start at 2126-04-24T00:41:43Z. Reason: RulesEngine."
"05/18/2026 3:41:06 AM","Microsoft-Windows-Security-SPP","16394","Information","Offline downlevel migration succeeded."
"05/18/2026 3:00:49 AM","ESENT","326","Information","svchost (40448,D,50,0) DS_Token_DB: The database engine attached a database (1, C:\Windows\system32\config\systemprofile\AppData\Local\DataSharing\Storage\DSTokenDB2.dat). (Time=0 seconds) 
 
Saved Cache: 1 0 
Additional Data: lgposAttach = 00000017:000E:0268,
dbv = 1568.300.620 (9620) 
 
Internal Timing Sequence: 
[1] 0.000004 +J(0) +M(C:0K, Fs:1, WS:4K # 0K, PF:0K # 0K, P:0K)
[2] 0.000610 -0.000069 (1) WT +J(0) +M(C:0K, Fs:17, WS:4K # 8K, PF:4K # 4K, P:4K)
[3] 0.005422 -0.000484 (8) WT +J(CM:0, PgRf:0, Rd:0/0, Dy:0/0, Lg:255/1) +M(C:0K, Fs:29, WS:100K # 40K, PF:20K # 0K, P:20K)
[4] 0.000910 +J(0)
[5] -
[6] 0.000745 -0.000670 (2) CM -0.000621 (2) WT +J(CM:2, PgRf:2, Rd:0/2, Dy:0/0, Lg:0/0) +M(C:0K, Fs:2, WS:8K # 4K, PF:0K # 0K, P:0K)
[7] 0.000001 +J(0)
[8] 0.000615 -0.000499 (1) CM -0.000475 (1) WT +J(CM:1, PgRf:1, Rd:4/1, Dy:0/0, Lg:0/0) +M(C:16K, Fs:24, WS:96K # 96K, PF:208K # 168K, P:208K)
[9] -
[10] -
[11] -
[12] 0.000007 +J(CM:0, PgRf:0, Rd:0/0, Dy:0/0, Lg:54/1) +M(C:0K, Fs:1, WS:4K # 4K, PF:20K # 16K, P:20K)
[13] 0.000365 -0.000235 (3) CM -0.000194 (3) WT +J(CM:3, PgRf:23, Rd:0/3, Dy:0/0, Lg:0/0) +M(C:-8K, Fs:21, WS:76K # 76K, PF:-4K # 4K, P:-4K)
[14] 0.000247 -0.000156 (2) CM -0.000107 (2) WT +J(CM:2, PgRf:40, Rd:0/2, Dy:0/0, Lg:0/0) +M(C:0K, Fs:3, WS:12K # 12K, PF:64K # 56K, P:64K)
[15] 0.000177 -0.000157 (1) CM -0.000128 (1) WT +J(CM:1, PgRf:1, Rd:0/1, Dy:0/0, Lg:0/0)
[16] 0.000011 +J(CM:0, PgRf:1, Rd:0/0, Dy:0/0, Lg:0/0) +M(C:0K, Fs:1, WS:4K # 4K, PF:0K # 0K, P:0K)
[17] 0.000189 -0.000134 (1) CM -0.000108 (1) WT +J(CM:1, PgRf:42, Rd:0/1, Dy:0/0, Lg:0/0) +M(C:0K, Fs:8, WS:32K # 32K, PF:0K # 0K, P:0K)
[18] 0.000001 +J(0)
[19] 0.0 +J(0)
[20] 0.000154 -0.000124 (1) CM -0.000104 (1) WT +J(CM:1, PgRf:3, Rd:0/1, Dy:0/0, Lg:0/0) +M(C:0K, Fs:3, WS:12K # 12K, PF:0K # 0K, P:0K)."
"05/18/2026 3:00:49 AM","ESENT","105","Information","svchost (40448,D,0,0) DS_Token_DB: The database engine started a new instance (0). (Time=0.033 seconds) 
 
Additional Data:
 lgposV2[] = 00000017:0001:0000 - 00000017:000B:0367 - 00000017:000C:0000 - 00000017:000C:0000 (00000000:0000:0000)
cReInits = 3
RBSOn = 0
 
 
Internal Timing Sequence: 
[1] 0.000452 +J(0) +M(C:0K, Fs:177, WS:660K # 660K, PF:4232K # 4232K, P:4232K)
[2] 0.000306 +J(0) +M(C:8K, Fs:158, WS:628K # 628K, PF:472K # 472K, P:472K)
[3] 0.000008 +J(0) +M(C:0K, Fs:2, WS:4K # 4K, PF:68K # 68K, P:68K)
[4] 0.000184 +J(0) +M(C:0K, Fs:152, WS:600K # 600K, PF:1132K # 1132K, P:1132K)
[5] 0.000896 +J(0) +M(C:0K, Fs:394, WS:1576K # 1576K, PF:20K # 20K, P:20K)
[6] 0.002460 +J(0) +M(C:0K, Fs:58, WS:232K # 232K, PF:16K # 16K, P:16K)
[7] 0.001130 -0.000233 (2) WT +J(0) +M(C:0K, Fs:41, WS:164K # 164K, PF:64K # 64K, P:64K)
[8] 0.013009 -0.002837 (13) WT +J(CM:0, PgRf:0, Rd:0/0, Dy:0/0, Lg:44616/30) +M(C:0K, Fs:179, WS:428K # 428K, PF:256K # 260K, P:256K)
[9] 0.000410 +J(0) +M(C:0K, Fs:12, WS:48K # 48K, PF:0K # 0K, P:0K)
[10] 0.000979 -0.000111 (1) WT +J(0) +M(C:0K, Fs:2, WS:-52K # 8K, PF:-60K # 0K, P:-60K)
[11] 0.000018 +J(CM:0, PgRf:0, Rd:0/0, Dy:0/0, Lg:49/1) +M(C:0K, Fs:4, WS:16K # 0K, PF:0K # 0K, P:0K)
[12] 0.000368 +J(0)
[13] 0.011910 -0.000275 (2) CM -0.001227 (18) WT +J(CM:2, PgRf:2, Rd:0/2, Dy:0/0, Lg:8759/5) +M(C:0K, Fs:77, WS:196K # 216K, PF:204K # 208K, P:204K)
[14] 0.000014 +J(0)
[15] 0.000009 +J(0)
[16] 0.000427 -0.000057 (1) WT +J(0) +M(C:0K, Fs:2, WS:0K # 0K, PF:0K # 0K, P:0K)."
"05/18/2026 3:00:49 AM","ESENT","302","Information","svchost (40448,U,98,0) DS_Token_DB: The database engine has successfully completed recovery steps."
"05/18/2026 3:00:49 AM","ESENT","301","Information","svchost (40448,R,98,0) DS_Token_DB: The database engine has finished replaying logfile C:\Windows\system32\config\systemprofile\AppData\Local\DataSharing\Storage\DSS.log. 
 
Processing Stats: 
[1] 0.008130 -0.002356 (9) WT +J(CM:0, PgRf:0, Rd:0/0, Dy:0/0, Lg:44616/30) +M(C:0K, Fs:118, WS:264K # 196K, PF:160K # 96K, P:160K). 
Log record of type 'AttachDB ' was seen most frequently (3 times)"
"05/18/2026 3:00:49 AM","ESENT","300","Information","svchost (40448,R,98,0) DS_Token_DB: The database engine is initiating recovery steps."
"05/18/2026 3:00:49 AM","ESENT","102","Information","svchost (40448,P,98,0) DS_Token_DB: The database engine (10.00.26200.0000) is starting a new instance (0)."
"05/18/2026 2:59:18 AM","Microsoft-Windows-Security-SPP","16384","Information","Successfully scheduled Software Protection service for re-start at 2126-04-23T23:59:18Z. Reason: RulesEngine."
