"Count","Name"
"95","Microsoft-Windows-WHEA-Logger, 17"
"55","Microsoft-Windows-WindowsUpdateClient, 19"
"21","Microsoft-Windows-IsolatedUserMode, 2"
"7","Microsoft-Windows-WHEA-Logger, 19"
"6","BTHUSB, 18"
"6","MEIx64, 2"
"6","Microsoft-Windows-Hyper-V-Hypervisor, 2"
"6","Microsoft-Windows-Kernel-Boot, 18"
"6","Microsoft-Windows-Wininit, 18"
"6","Microsoft-Windows-Wininit, 19"
"6","TPM, 18"
"5","User32, 1074"
"1","EventLog, 6008"
"1","Microsoft-Windows-Kernel-Power, 41"
"1","Microsoft-Windows-WHEA-Logger, 2"
"1","TPM, 17"
