"FullName","Name","LastWriteTime"
"C:\Windows\System32\DriverStore\FileRepository\dtt_sw.inf_amd64_4dcbabf4df6e73f7","dtt_sw.inf_amd64_4dcbabf4df6e73f7","05/16/2026 4:15:59 PM"
"C:\Windows\System32\DriverStore\FileRepository\nvdmi.inf_amd64_7cd2769fc98323d6","nvdmi.inf_amd64_7cd2769fc98323d6","05/14/2026 11:03:13 PM"
"C:\Windows\System32\DriverStore\FileRepository\pluton-heci.inf_amd64_be512b6f77da1ddc","pluton-heci.inf_amd64_be512b6f77da1ddc","05/01/2026 8:25:57 AM"
"C:\Windows\System32\DriverStore\FileRepository\dtt_ext.inf_amd64_63332b0a44b6cf39","dtt_ext.inf_amd64_63332b0a44b6cf39","04/22/2026 1:19:13 AM"
"C:\Windows\System32\DriverStore\FileRepository\nvdmi.inf_amd64_58013fb7a7c5dc00","nvdmi.inf_amd64_58013fb7a7c5dc00","03/26/2026 2:28:36 AM"
"C:\Windows\System32\DriverStore\FileRepository\heci.inf_amd64_868307ee28d2b169","heci.inf_amd64_868307ee28d2b169","02/25/2026 2:50:32 PM"
"C:\Windows\System32\DriverStore\FileRepository\dttcfg_ext.inf_amd64_f6715dbc217a3cc0","dttcfg_ext.inf_amd64_f6715dbc217a3cc0","11/16/2025 12:18:19 PM"
"C:\Windows\System32\DriverStore\FileRepository\dtt_sw.inf_amd64_8edcf6be1c4ddd78","dtt_sw.inf_amd64_8edcf6be1c4ddd78","11/16/2025 12:18:11 PM"
"C:\Windows\System32\DriverStore\FileRepository\heci.inf_amd64_e0e9fcf6c047b9a7","heci.inf_amd64_e0e9fcf6c047b9a7","11/16/2025 12:18:06 PM"
"C:\Windows\System32\DriverStore\FileRepository\mdmeiger.inf_amd64_4ba3925fa8f25b9b","mdmeiger.inf_amd64_4ba3925fa8f25b9b","04/01/2024 10:24:34 AM"
