"FullName","Name","Length","LastWriteTime","Version"
"C:\Windows\System32\DriverStore\FileRepository\dtt_sw.inf_amd64_4dcbabf4df6e73f7\ApoProvider.dll","ApoProvider.dll","713184","03/12/2026 2:47:54 PM","9.1.10009.1745"
"C:\Windows\System32\DriverStore\FileRepository\dtt_sw.inf_amd64_4dcbabf4df6e73f7\Dptf.dll","Dptf.dll","4753888","03/12/2026 2:47:56 PM","9.1.10009.1745"
"C:\Windows\System32\DriverStore\FileRepository\dtt_sw.inf_amd64_4dcbabf4df6e73f7\DptfPolicyActive.dll","DptfPolicyActive.dll","1018848","03/12/2026 2:47:56 PM","9.1.10009.1745"
"C:\Windows\System32\DriverStore\FileRepository\dtt_sw.inf_amd64_4dcbabf4df6e73f7\DptfPolicyActive2.dll","DptfPolicyActive2.dll","975840","03/12/2026 2:47:56 PM","9.1.10009.1745"
"C:\Windows\System32\DriverStore\FileRepository\dtt_sw.inf_amd64_4dcbabf4df6e73f7\DptfPolicyAdaptivePerformance.dll","DptfPolicyAdaptivePerformance.dll","1521120","03/12/2026 2:47:58 PM","9.1.10009.1745"
"C:\Windows\System32\DriverStore\FileRepository\dtt_sw.inf_amd64_4dcbabf4df6e73f7\DptfPolicyApplicationOptimizer.dll","DptfPolicyApplicationOptimizer.dll","1382880","03/12/2026 2:47:58 PM","9.1.10009.1745"
"C:\Windows\System32\DriverStore\FileRepository\dtt_sw.inf_amd64_4dcbabf4df6e73f7\DptfPolicyCritical.dll","DptfPolicyCritical.dll","996320","03/12/2026 2:47:58 PM","9.1.10009.1745"
"C:\Windows\System32\DriverStore\FileRepository\dtt_sw.inf_amd64_4dcbabf4df6e73f7\DptfPolicyEnergyPerformanceOptimizer.dll","DptfPolicyEnergyPerformanceOptimizer.dll","1548768","03/12/2026 2:48:00 PM","9.1.10009.1745"
"C:\Windows\System32\DriverStore\FileRepository\dtt_sw.inf_amd64_4dcbabf4df6e73f7\DptfPolicyIntelligentThermalManagement.dll","DptfPolicyIntelligentThermalManagement.dll","1255904","03/12/2026 2:48:00 PM","9.1.10009.1745"
"C:\Windows\System32\DriverStore\FileRepository\dtt_sw.inf_amd64_4dcbabf4df6e73f7\DptfPolicyIntelligentThermalManagement3.dll","DptfPolicyIntelligentThermalManagement3.dll","1443296","03/12/2026 2:48:00 PM","9.1.10009.1745"
"C:\Windows\System32\DriverStore\FileRepository\dtt_sw.inf_amd64_4dcbabf4df6e73f7\DptfPolicyOpportunisticBoost.dll","DptfPolicyOpportunisticBoost.dll","1163232","03/12/2026 2:48:02 PM","9.1.10009.1745"
"C:\Windows\System32\DriverStore\FileRepository\dtt_sw.inf_amd64_4dcbabf4df6e73f7\DptfPolicyPassive.dll","DptfPolicyPassive.dll","1030112","03/12/2026 2:48:02 PM","9.1.10009.1745"
"C:\Windows\System32\DriverStore\FileRepository\dtt_sw.inf_amd64_4dcbabf4df6e73f7\DptfPolicyPassive2.dll","DptfPolicyPassive2.dll","1058784","03/12/2026 2:48:02 PM","9.1.10009.1745"
"C:\Windows\System32\DriverStore\FileRepository\dtt_sw.inf_amd64_4dcbabf4df6e73f7\DptfPolicyPid.dll","DptfPolicyPid.dll","1174496","03/12/2026 2:48:04 PM","9.1.10009.1745"
"C:\Windows\System32\DriverStore\FileRepository\dtt_sw.inf_amd64_4dcbabf4df6e73f7\DptfPolicyPowerBoss.dll","DptfPolicyPowerBoss.dll","1505248","03/12/2026 2:48:04 PM","9.1.10009.1745"
"C:\Windows\System32\DriverStore\FileRepository\dtt_sw.inf_amd64_4dcbabf4df6e73f7\DptfPolicyPowerShare.dll","DptfPolicyPowerShare.dll","1167328","03/12/2026 2:48:06 PM","9.1.10009.1745"
"C:\Windows\System32\DriverStore\FileRepository\dtt_sw.inf_amd64_4dcbabf4df6e73f7\DptfPolicyPowerShare2.dll","DptfPolicyPowerShare2.dll","1316832","03/12/2026 2:48:06 PM","9.1.10009.1745"
"C:\Windows\System32\DriverStore\FileRepository\dtt_sw.inf_amd64_4dcbabf4df6e73f7\DptfPolicyRfim.dll","DptfPolicyRfim.dll","1400800","03/12/2026 2:48:06 PM","9.1.10009.1745"
"C:\Windows\System32\DriverStore\FileRepository\dtt_sw.inf_amd64_4dcbabf4df6e73f7\DptfPolicySystemConfiguration.dll","DptfPolicySystemConfiguration.dll","1275360","03/12/2026 2:48:08 PM","9.1.10009.1745"
"C:\Windows\System32\DriverStore\FileRepository\dtt_sw.inf_amd64_4dcbabf4df6e73f7\DptfPolicyVirtualSensor.dll","DptfPolicyVirtualSensor.dll","1173472","03/12/2026 2:48:08 PM","9.1.10009.1745"
"C:\Windows\System32\DriverStore\FileRepository\dtt_sw.inf_amd64_4dcbabf4df6e73f7\DptfPolicyVirtualSensor2.dll","DptfPolicyVirtualSensor2.dll","1297384","03/12/2026 2:48:08 PM","9.1.10009.1745"
"C:\Windows\System32\DriverStore\FileRepository\dtt_sw.inf_amd64_4dcbabf4df6e73f7\dptftcs.dll","dptftcs.dll","1739232","03/12/2026 2:48:10 PM","9.1.10009.1745"
"C:\Windows\System32\DriverStore\FileRepository\dtt_sw.inf_amd64_4dcbabf4df6e73f7\dtt_sw.cat","dtt_sw.cat","30557","03/12/2026 2:48:10 PM",
"C:\Windows\System32\DriverStore\FileRepository\dtt_sw.inf_amd64_4dcbabf4df6e73f7\dtt_sw.inf","dtt_sw.inf","13181","03/12/2026 1:59:46 PM",
"C:\Windows\System32\DriverStore\FileRepository\dtt_sw.inf_amd64_4dcbabf4df6e73f7\DttProvider.dll","DttProvider.dll","805856","03/12/2026 2:48:10 PM","9.1.10009.1745"
"C:\Windows\System32\DriverStore\FileRepository\dtt_sw.inf_amd64_4dcbabf4df6e73f7\IpcClient.dll","IpcClient.dll","294368","03/12/2026 2:48:12 PM","2.3.20301.5051"
"C:\Windows\System32\DriverStore\FileRepository\dtt_sw.inf_amd64_4dcbabf4df6e73f7\IpcServer.dll","IpcServer.dll","338912","03/12/2026 2:48:12 PM","2.3.20301.5051"
"C:\Windows\System32\DriverStore\FileRepository\dtt_sw.inf_amd64_4dcbabf4df6e73f7\IpfEfPortal.dll","IpfEfPortal.dll","170464","03/12/2026 2:48:12 PM","9.1.10009.1745"
"C:\Windows\System32\DriverStore\FileRepository\dtt_sw.inf_amd64_4dcbabf4df6e73f7\ipfsvc.exe","ipfsvc.exe","660448","03/12/2026 2:48:14 PM","2.3.20301.5051"
"C:\Windows\System32\DriverStore\FileRepository\dtt_sw.inf_amd64_4dcbabf4df6e73f7\ipfumdf.dll","ipfumdf.dll","235488","03/12/2026 2:48:14 PM","2.3.20301.5051"
"C:\Windows\System32\DriverStore\FileRepository\dtt_sw.inf_amd64_4dcbabf4df6e73f7\msvcp140.dll","msvcp140.dll","576656","03/12/2026 2:48:14 PM","14.40.33810.0"
