"ProcessName","Id","WorkingSetMB","PrivateMB","CPU"
"obs64","37328","1460.9","5495.6","4455"
"chrome","31240","675.7","810.1","819.9"
"zo","16276","571.8","591.4","1244"
"chrome","59784","542.3","524","82.9"
"chrome","33236","507.2","666.3","2357.3"
"vmmemWSL","33576","497.1","3706.8","0"
"Codex","20844","408.9","595.9","2108.2"
"node","21324","356.9","360.2","16.4"
"Notion","20432","347.1","394.9","255.2"
"chrome","31132","344","858.3","4008.6"
"chrome","8340","302.4","347","1637.9"
"chrome","10372","288.9","275.4","36.9"
"Streamlabs OBS","41108","278.7","1236.9","1271"
"chrome","63220","268.3","193.8","2.6"
"chrome","57948","235.9","267.6","45.8"
"Slack","27724","230.9","355.4","542.3"
"com.docker.backend","58756","228.4","218.6","348.5"
"opencode","48308","214.2","1636.6","42"
"chrome","11836","204.2","272.4","65.1"
"chrome","61500","203.8","218.1","22"
"chrome","54264","163.5","132.3","6.6"
"chrome","44972","161.2","153.7","22.1"
"chrome","10920","157.9","249.6","291"
"chrome","37104","156.3","150.5","23.8"
"chrome","50064","154.3","161.7","93.7"
"Streamlabs OBS","46636","152.6","193.4","1752.6"
"chrome","56988","140.6","92.4","19.1"
"Docker Desktop","27532","137.5","122.4","575.3"
"Docker Desktop","37988","132.7","145.1","109.3"
"chrome","35300","130.8","157.2","447.5"
"codex","3708","120.1","109.8","1219.6"
"chrome","61980","119.3","86","9.2"
"Codex","20492","117.2","165.4","593.1"
"chrome","35540","115","129.7","179"
"zo","33552","112.8","144.9","779.2"
"chrome","15520","109.7","224.9","54.1"
"chrome","31628","105.1","63.1","70.3"
"Codex","20748","104.1","292.1","1816.8"
"chrome","3896","103.3","129.8","93.6"
"ERNIE","26588","102.9","135.5","600.4"
"zo","24188","99.5","213.2","585.2"
"ERNIE","25960","94.4","126.2","585.1"
"ERNIE","27040","93.5","117.9","584.5"
"chrome","30264","88.4","99.6","56.4"
"node","2288","84.7","120.8","19.9"
"Notion","8068","83.4","94.4","121.6"
"ERNIE","25984","81.7","107.5","651.5"
"chrome","7180","76.7","71.3","251.7"
"Notion","9180","73.7","115.9","324.8"
"Streamlabs OBS","48972","72.9","107.1","22.3"
"ERNIE","25484","64.5","133.3","411.4"
"Slack","17748","63","113.6","53.7"
"com.docker.backend","57116","61.5","47.4","17.8"
"Docker Desktop","23968","60","167.2","11.3"
"Streamlabs OBS","38080","56","99.2","214.7"
"node","40808","55.8","139.4","7.8"
"chrome","62448","53.3","29.7","0.3"
"Streamlabs OBS","48680","49.6","306.8","976.6"
"chrome","17068","48.4","46.4","15.1"
"obs-browser-page","50864","45.7","63.7","7.7"
"devin","53332","44.1","101.1","32.7"
"node","62208","40.8","316.1","14"
"obs-browser-page","48464","39.9","54.3","34.8"
"node","43116","39","213.3","15"
"obs-browser-page","48840","37.9","41.3","7.3"
"com.docker.build","26776","36.6","32.4","2.2"
"devin","61032","36.4","11.2","0.8"
"devin","64072","36.3","11.3","0.9"
"obs-browser-page","44472","35.9","37.3","18.9"
"chrome","28584","34.4","41.9","20.3"
"obs-browser-page","42756","33.7","214.4","58.9"
"chrome","38716","32.6","16.7","0.1"
"obs-browser-page","46568","32.5","36.3","5.9"
"Docker Desktop","39108","31.3","13.5","0.3"
"obs-browser-page","51344","27.9","45.2","73.8"
"chrome","41088","25.7","16.5","0.1"
"devin","23160","25.4","2.1","0"
"Notion","19940","25.2","21.8","96.5"
"devin","16252","24.4","2.1","0"
"obs-browser-page","45976","22.2","15.4","9.7"
"obs-browser-page","49864","22.1","39.7","5.1"
"zo","5772","22.1","33.7","1"
"Notion","19876","21.7","97.4","103.6"
"chrome","30376","21.1","31.8","7.8"
"zo","6460","20.9","35.9","1.3"
"Codex","20780","20.9","20.6","15.3"
"ERNIE","25756","20","23","8.7"
"zo","24200","19.9","15.9","9.4"
"obs-browser-page","50764","19.7","52.4","5.3"
"Slack","27092","18.9","16.6","15.1"
"ERNIE","25740","18.9","124.7","38.7"
"obs-browser-page","45980","16.7","23.6","3.4"
"obs-browser-page","50516","16.6","24.2","3.7"
"Notion","20036","16.4","35","44.8"
"wslservice","6084","14","7.4","0"
"Streamlabs OBS","46564","13.9","17.5","3.2"
"docker-sandbox","63448","13.8","26.1","0"
"ERNIE","25948","13.2","36","1.5"
"ERNIE","26052","13.1","42.4","2.6"
"chrome","29748","12","19.7","10.9"
"wsl","42288","11.8","2.4","48.6"
"wsl","60220","11.8","2.4","0"
"wslhost","40836","11.5","2.4","0.1"
"obs-browser-page","50744","11.5","20.3","4.5"
"wslhost","53604","11.1","2.2","0"
"wslhost","58904","11.1","2.1","0"
"wslhost","44280","11","2.1","0"
"Notion","7992","10.6","32.2","0.6"
"wslrelay","56736","10.2","2.2","0"
"devin","59016","8.5","2.1","0"
"node","24592","8.2","166.5","5.2"
"node","31200","8","164.9","6.1"
"chrome","16904","8","57.8","1.2"
"node","11684","7.7","165.7","5.9"
"Slack","19276","7.2","75.9","25.7"
"wsl","38324","7","1.1","0"
"chrome","9368","6.7","10.9","1.7"
"wsl","60624","6.4","1.1","0"
"Slack","28192","6.2","65","32.4"
"ERNIE","6024","6.1","65.1","22.2"
