"Name","FullName","Mode","Length","LastWriteTime"
"nexusalpha-pr32-comment.md","C:\tmp\nexusalpha-pr32-comment.md","-a---","2828","05/20/2026 11:33:15 PM"
"nexusalpha-safe-push","C:\tmp\nexusalpha-safe-push","d----",,"05/20/2026 11:27:56 PM"
"nexus-env-backups","C:\tmp\nexus-env-backups","d----",,"05/20/2026 1:00:56 PM"
"nexus-governed-mcp-python-clone","C:\tmp\nexus-governed-mcp-python-clone","d----",,"05/20/2026 12:57:01 PM"
"nexus-governed-mcp-python-pr","C:\tmp\nexus-governed-mcp-python-pr","d----",,"05/20/2026 12:52:31 PM"
"nexus-governed-mcp-pr","C:\tmp\nexus-governed-mcp-pr","d----",,"05/20/2026 12:49:21 PM"
"openclaw","C:\tmp\openclaw","d----",,"05/20/2026 4:08:55 AM"
"nexus-windows-recovery-transfer","C:\tmp\nexus-windows-recovery-transfer","d----",,"05/19/2026 9:13:09 AM"
"nexus-resource-guard","C:\tmp\nexus-resource-guard","d----",,"05/10/2026 3:12:15 PM"
"nexus-model-id-proxy.out.log","C:\tmp\nexus-model-id-proxy.out.log","-a---","129","05/05/2026 11:56:47 AM"
"nexus-model-id-proxy.err.log","C:\tmp\nexus-model-id-proxy.err.log","-a---","0","05/05/2026 11:56:47 AM"
"nexus_pi_active_fix_20260505_115645","C:\tmp\nexus_pi_active_fix_20260505_115645","d----",,"05/05/2026 11:56:45 AM"
".modelrelay.before_literal_modelid_fix_20260505_115956.json","C:\tmp\.modelrelay.before_literal_modelid_fix_20260505_115956.json","-a---","4019","05/05/2026 11:10:05 AM"
"pi-settings-before-nexus-provider-fix.json","C:\tmp\pi-settings-before-nexus-provider-fix.json","-a---","1751","05/05/2026 2:44:23 AM"
"CDB_050426-23750-01_RELOAD.txt","C:\tmp\CDB_050426-23750-01_RELOAD.txt","-a---","70242","05/04/2026 9:08:32 PM"
"symbols2","C:\tmp\symbols2","d----",,"05/04/2026 9:08:24 PM"
"CDB_042326-34390-01.txt","C:\tmp\CDB_042326-34390-01.txt","-a---","61068","05/04/2026 8:28:51 PM"
"symbols","C:\tmp\symbols","d----",,"05/04/2026 8:28:33 PM"
"CDB_050426-23750-01.txt","C:\tmp\CDB_050426-23750-01.txt","-a---","112302","05/04/2026 8:28:24 PM"
"winsdksetup.exe","C:\tmp\winsdksetup.exe","-a---","1354648","05/04/2026 8:21:38 PM"
"drs_environment.yaml","C:\tmp\drs_environment.yaml","-a---","1327","05/03/2026 2:16:45 PM"
"qdrant","C:\tmp\qdrant","d----",,"05/02/2026 1:52:11 PM"
"nexus-modelrelay-mirror-before-safe-filter.ts","C:\tmp\nexus-modelrelay-mirror-before-safe-filter.ts","-a---","4047","05/01/2026 12:09:19 PM"
"agt_verify_output.txt","C:\tmp\agt_verify_output.txt","-a---","1377","04/29/2026 6:23:46 PM"
"test_brotli.parquet","C:\tmp\test_brotli.parquet","-a---","6410178","04/29/2026 9:25:06 AM"
"test_zstd.parquet","C:\tmp\test_zstd.parquet","-a---","8290702","04/29/2026 9:25:04 AM"
"test_gzip.parquet","C:\tmp\test_gzip.parquet","-a---","7400682","04/29/2026 9:25:03 AM"
"test_snappy.parquet","C:\tmp\test_snappy.parquet","-a---","11353866","04/29/2026 9:25:01 AM"
"sandbox_changes.patch","C:\tmp\sandbox_changes.patch","-a---","31650","04/16/2026 6:15:03 AM"
"earth_science","C:\tmp\earth_science","d----",,"03/28/2026 12:39:42 PM"
