"Name","FullName","Length","LastWriteTime"
"TeleAI-Safety A comprehensive LLM.pdf","C:\Users\speci.000\Downloads\Papers\TeleAI-Safety A comprehensive LLM.pdf","1952956","05/19/2026 10:38:33 AM"
"On Prompt-Driven Safeguarding for Large Language Models.pdf","C:\Users\speci.000\Downloads\Papers\On Prompt-Driven Safeguarding for Large Language Models.pdf","3974579","05/19/2026 10:37:46 AM"
"JailbreakZoo Survey, Landscapes, and Horizons in Jailbreaking.pdf","C:\Users\speci.000\Downloads\Papers\JailbreakZoo Survey, Landscapes, and Horizons in Jailbreaking.pdf","2087161","05/19/2026 10:37:16 AM"
"Jailbreaking Black Box Large Language Models in.pdf","C:\Users\speci.000\Downloads\Papers\Jailbreaking Black Box Large Language Models in.pdf","5353023","05/19/2026 10:33:40 AM"
"Making Them Ask and Answer Jailbreaking Large Language Models.pdf","C:\Users\speci.000\Downloads\Papers\Making Them Ask and Answer Jailbreaking Large Language Models.pdf","1846648","05/19/2026 10:32:08 AM"
"GPTFUZZER Red Teaming Large Language Models.pdf","C:\Users\speci.000\Downloads\Papers\GPTFUZZER Red Teaming Large Language Models.pdf","3739858","05/19/2026 10:30:54 AM"
"Blackbox Attacks via Surrogate Ensemble Search.pdf","C:\Users\speci.000\Downloads\Papers\Blackbox Attacks via Surrogate Ensemble Search.pdf","9284882","05/19/2026 10:16:19 AM"
"MirrorShield Towards Universal Defense Against Jailbreaks via.pdf","C:\Users\speci.000\Downloads\Papers\MirrorShield Towards Universal Defense Against Jailbreaks via.pdf","1926152","05/19/2026 10:15:47 AM"
"Red Teaming Large Reasoning Models.pdf","C:\Users\speci.000\Downloads\Papers\Red Teaming Large Reasoning Models.pdf","1560173","05/19/2026 10:13:47 AM"
"INJECAGENT Benchmarking Indirect Prompt Injections in.pdf","C:\Users\speci.000\Downloads\Papers\INJECAGENT Benchmarking Indirect Prompt Injections in.pdf","3183277","05/19/2026 10:13:21 AM"
"Design-of-a-GenAI-UX-layer-with-small-language-models-for-edge-computing-in-smart-agriculture.pdf","C:\Users\speci.000\Downloads\Papers\Design-of-a-GenAI-UX-layer-with-small-language-models-for-edge-computing-in-smart-agriculture.pdf","7532694","05/18/2026 8:25:06 AM"
"A-Multi-agent-LLM-System-for-Automated-Requirements-Analysis-A-Study-on-User-Story-Generation.pdf","C:\Users\speci.000\Downloads\Papers\A-Multi-agent-LLM-System-for-Automated-Requirements-Analysis-A-Study-on-User-Story-Generation.pdf","936388","05/18/2026 8:21:11 AM"
"A-digital-twin-framework-for-enhancing-human-agentic-AI-machine-collaboration.pdf","C:\Users\speci.000\Downloads\Papers\A-digital-twin-framework-for-enhancing-human-agentic-AI-machine-collaboration.pdf","2962883","05/18/2026 8:16:56 AM"
"Empowering-AI-data-scientists-using-a-multi-agent-LLM-framework-with-self-evolving-capabilities.pdf","C:\Users\speci.000\Downloads\Papers\Empowering-AI-data-scientists-using-a-multi-agent-LLM-framework-with-self-evolving-capabilities.pdf","17251888","05/18/2026 8:16:23 AM"
"Smaller-Smarter-Closer-The-Edge-of-Collaborative-Generative-AI.pdf","C:\Users\speci.000\Downloads\Papers\Smaller-Smarter-Closer-The-Edge-of-Collaborative-Generative-AI.pdf","2352103","05/18/2026 8:09:32 AM"
"MODEL-AGNOSTIC META-ATTACK.pdf","C:\Users\speci.000\Downloads\Papers\MODEL-AGNOSTIC META-ATTACK.pdf","710028","05/18/2026 8:02:52 AM"
"Efficient Black-box Adversarial Attacks via Bayesian Optimization.pdf","C:\Users\speci.000\Downloads\Papers\Efficient Black-box Adversarial Attacks via Bayesian Optimization.pdf","1936516","05/18/2026 8:00:12 AM"
"Fine-Tuning-Small-Language-Models-for-Domain-Specific-AI-An-Edge-AI-Perspective.pdf","C:\Users\speci.000\Downloads\Papers\Fine-Tuning-Small-Language-Models-for-Domain-Specific-AI-An-Edge-AI-Perspective.pdf","2363698","05/18/2026 7:49:09 AM"
"A-survey-on-LLM-based-multi-agent-systems-workflow-infrastructure-and-challenges.pdf","C:\Users\speci.000\Downloads\Papers\A-survey-on-LLM-based-multi-agent-systems-workflow-infrastructure-and-challenges.pdf","3460946","05/18/2026 7:47:31 AM"
"MechAgents-Large-language-model-multi-agent-collaborations-can-solve-mechanics-problems-generate.pdf","C:\Users\speci.000\Downloads\Papers\MechAgents-Large-language-model-multi-agent-collaborations-can-solve-mechanics-problems-generate.pdf","6891029","05/18/2026 7:45:27 AM"
"A Survey on Self-supervised Learning.pdf","C:\Users\speci.000\Downloads\Papers\A Survey on Self-supervised Learning.pdf","5748159","05/18/2026 12:21:28 AM"
"Latte Latent Diffusion Transformer for Video Generation.pdf","C:\Users\speci.000\Downloads\Papers\Latte Latent Diffusion Transformer for Video Generation.pdf","48254247","05/17/2026 11:49:29 PM"
"A Cookbook of Self-Supervised Learning.pdf","C:\Users\speci.000\Downloads\Papers\A Cookbook of Self-Supervised Learning.pdf","1877344","05/17/2026 11:43:58 PM"
"Controlled generation of unseen faults for Partial and Open-Partial domain.pdf","C:\Users\speci.000\Downloads\Papers\Controlled generation of unseen faults for Partial and Open-Partial domain.pdf","2214024","05/17/2026 11:32:35 PM"
"Restricted Boltzmann Machine Flows and The Critical.pdf","C:\Users\speci.000\Downloads\Papers\Restricted Boltzmann Machine Flows and The Critical.pdf","2432062","05/17/2026 11:31:05 PM"
"Opening the black box of Deep Neural Networks.pdf","C:\Users\speci.000\Downloads\Papers\Opening the black box of Deep Neural Networks.pdf","3921623","05/17/2026 11:28:29 PM"
"The attention schema theory a mechanistic account of subjective awareness.pdf","C:\Users\speci.000\Downloads\Papers\The attention schema theory a mechanistic account of subjective awareness.pdf","705859","05/17/2026 10:42:29 PM"
"TRAINING LANGUAGE MODEL AGENTS TO FIND.pdf","C:\Users\speci.000\Downloads\Papers\TRAINING LANGUAGE MODEL AGENTS TO FIND.pdf","1023290","05/16/2026 3:45:54 PM"
"rStar-Math Small LLMs Can Master Math Reasoning.pdf","C:\Users\speci.000\Downloads\Papers\rStar-Math Small LLMs Can Master Math Reasoning.pdf","929246","05/16/2026 3:45:27 PM"
"LLM-Augmented Multi-Agent Reinforcement Learning for .pdf","C:\Users\speci.000\Downloads\Papers\LLM-Augmented Multi-Agent Reinforcement Learning for .pdf","5229958","05/16/2026 1:58:04 PM"
"Large Language Models Hallucination.pdf","C:\Users\speci.000\Downloads\Papers\Large Language Models Hallucination.pdf","1496209","05/16/2026 1:34:44 PM"
"Large Legal Fictions.pdf","C:\Users\speci.000\Downloads\Papers\Large Legal Fictions.pdf","2577422","05/16/2026 1:24:44 PM"
"Lokis Dance of Illusions A Comprehensive Survey.pdf","C:\Users\speci.000\Downloads\Papers\Lokis Dance of Illusions A Comprehensive Survey.pdf","8078419","05/16/2026 12:48:26 PM"
"PROBABILISTIC DISTANCES-BASED.pdf","C:\Users\speci.000\Downloads\Papers\PROBABILISTIC DISTANCES-BASED.pdf","603386","05/16/2026 12:43:13 PM"
"FROM LAZY AGENTS TO DELIBERATION.pdf","C:\Users\speci.000\Downloads\Papers\FROM LAZY AGENTS TO DELIBERATION.pdf","877404","05/16/2026 12:15:38 PM"
"It’s Not Just Size That Matters Small Language Models Are Also Few-Shot Learners.pdf","C:\Users\speci.000\Downloads\Papers\It’s Not Just Size That Matters Small Language Models Are Also Few-Shot Learners.pdf","475407","05/16/2026 12:03:42 PM"
"A proposal to localising urban AI a conceptual shift from generalist LLMs to task-specific SLMs.pdf","C:\Users\speci.000\Downloads\Papers\A proposal to localising urban AI a conceptual shift from generalist LLMs to task-specific SLMs.pdf","1056356","05/16/2026 12:00:33 PM"
"Learning to Selectively Collaborate.pdf","C:\Users\speci.000\Downloads\Papers\Learning to Selectively Collaborate.pdf","4229830","05/16/2026 11:58:53 AM"
"A Comprehensive Survey of Small Language Models in the Era of Large Language Models_ Techniques, Enhancements, Applications, Collaboration with LLMs, and Trustworthiness.pdf","C:\Users\speci.000\Downloads\Papers\A Comprehensive Survey of Small Language Models in the Era of Large Language Models_ Techniques, Enhancements, Applications, Collaboration with LLMs, and Trustworthiness.pdf","5076889","05/16/2026 11:48:42 AM"
"Assessing Small Language Models for Code Generation An Empirical Study with Benchmarks.pdf","C:\Users\speci.000\Downloads\Papers\Assessing Small Language Models for Code Generation An Empirical Study with Benchmarks.pdf","1213807","05/16/2026 11:22:09 AM"
"TDtoon Two-stage diffusion for controllable cartoon video generation via.pdf","C:\Users\speci.000\Downloads\Papers\TDtoon Two-stage diffusion for controllable cartoon video generation via.pdf","3199668","05/16/2026 11:02:41 AM"
"SAFEERASER Enhancing Safety in Multimodal.pdf","C:\Users\speci.000\Downloads\Papers\SAFEERASER Enhancing Safety in Multimodal.pdf","5204868","05/15/2026 9:42:10 PM"
"Is your algorithm unlearning or untraining.pdf","C:\Users\speci.000\Downloads\Papers\Is your algorithm unlearning or untraining.pdf","497406","05/15/2026 9:30:27 PM"
"Designing to Forget Deep Semi-parametric Models for Unlearning.pdf","C:\Users\speci.000\Downloads\Papers\Designing to Forget Deep Semi-parametric Models for Unlearning.pdf","1897170","05/15/2026 9:29:16 PM"
"Large-language-models-in-medicine.pdf","C:\Users\speci.000\Downloads\Papers\Large-language-models-in-medicine.pdf","1050814","05/15/2026 9:25:47 PM"
"Kaleidoscopic-AI-Hallucinations-on-the-Verge-of-Creativity.pdf","C:\Users\speci.000\Downloads\Papers\Kaleidoscopic-AI-Hallucinations-on-the-Verge-of-Creativity.pdf","2270274","05/15/2026 9:23:17 PM"
"Large-language-models-and-the-perils-of-their-hallucinations.pdf","C:\Users\speci.000\Downloads\Papers\Large-language-models-and-the-perils-of-their-hallucinations.pdf","775145","05/15/2026 9:22:23 PM"
"hogg1996.pdf","C:\Users\speci.000\Downloads\Papers\hogg1996.pdf","1177564","05/15/2026 9:21:50 PM"
"huberman1987.pdf","C:\Users\speci.000\Downloads\Papers\huberman1987.pdf","937436","05/15/2026 9:21:15 PM"
"Fast Byte Latent Transformer.pdf","C:\Users\speci.000\Downloads\Papers\Fast Byte Latent Transformer.pdf","1492748","05/12/2026 2:49:40 PM"
"Universal and Transferable Adversarial Attacks on Aligned Language Models.pdf","C:\Users\speci.000\Downloads\Papers\Universal and Transferable Adversarial Attacks on Aligned Language Models.pdf","4656473","05/12/2026 4:01:59 AM"
"PR-Attack Coordinated Prompt-RAG Attacks .pdf","C:\Users\speci.000\Downloads\Papers\PR-Attack Coordinated Prompt-RAG Attacks .pdf","1213985","05/12/2026 3:59:48 AM"
"Trojans Whisper Stealthy Manipulation of OpenClaw through.pdf","C:\Users\speci.000\Downloads\Papers\Trojans Whisper Stealthy Manipulation of OpenClaw through.pdf","4595486","05/12/2026 3:58:11 AM"
"SKILL-I ECTMeasuring Agent Vulnerability to Skill File Attacks.pdf","C:\Users\speci.000\Downloads\Papers\SKILL-I ECTMeasuring Agent Vulnerability to Skill File Attacks.pdf","1117609","05/12/2026 3:56:03 AM"
"Malice in Agentland Down the Rabbit Hole.pdf","C:\Users\speci.000\Downloads\Papers\Malice in Agentland Down the Rabbit Hole.pdf","8012314","05/12/2026 3:48:01 AM"
"Model Tampering Attacks Enable More.pdf","C:\Users\speci.000\Downloads\Papers\Model Tampering Attacks Enable More.pdf","1817217","05/11/2026 10:14:03 PM"
"Phase Transitions in the Output Distribution of Large Language Models.pdf","C:\Users\speci.000\Downloads\Papers\Phase Transitions in the Output Distribution of Large Language Models.pdf","726001","05/11/2026 3:36:48 PM"
"From_Texts_to_Shields_Convergence_of_Large_Languag.pdf","C:\Users\speci.000\Downloads\Papers\From_Texts_to_Shields_Convergence_of_Large_Languag.pdf","264734","05/11/2026 6:33:43 AM"
"TAMAS_Benchmarking_Adversarial_Risks_in_Multi-Agen.pdf","C:\Users\speci.000\Downloads\Papers\TAMAS_Benchmarking_Adversarial_Risks_in_Multi-Agen.pdf","5229217","05/11/2026 6:33:39 AM"
"subjective_thermo_currency_paper_20251222.pdf","C:\Users\speci.000\Downloads\Papers\subjective_thermo_currency_paper_20251222.pdf","6478739","05/11/2026 6:31:12 AM"
"Enhancing-user-prompt-confidentiality-in-Large-Language-Models-through-advanced-differential.pdf","C:\Users\speci.000\Downloads\Papers\Enhancing-user-prompt-confidentiality-in-Large-Language-Models-through-advanced-differential.pdf","1265933","05/07/2026 3:36:48 AM"
