"Name","FullName","Mode","Length","LastWriteTime"
"NEXUS_MCP_Server_Phase6","C:\Users\speci.000\Downloads\NEXUS_MCP_Server_Phase6","d----",,"05/20/2026 7:01:00 AM"
"NEXUS_MCP_Server_Phase6.zip","C:\Users\speci.000\Downloads\NEXUS_MCP_Server_Phase6.zip","-a---","21036","05/20/2026 7:00:12 AM"
"grokSKILL-MCPlog.txt","C:\Users\speci.000\Downloads\grokSKILL-MCPlog.txt","-a---","314378","05/20/2026 6:59:29 AM"
"clineMCPlog.txt","C:\Users\speci.000\Downloads\clineMCPlog.txt","-a---","356361","05/20/2026 6:31:11 AM"
"redisMEMORYservice.txt","C:\Users\speci.000\Downloads\redisMEMORYservice.txt","-a---","18223","05/20/2026 2:08:03 AM"
"HFways.txt","C:\Users\speci.000\Downloads\HFways.txt","-a---","71289","05/20/2026 1:40:31 AM"
"agentHARNESS.png","C:\Users\speci.000\Downloads\agentHARNESS.png","-a---","1491826","05/20/2026 1:40:14 AM"
"ciciKUS.txt","C:\Users\speci.000\Downloads\ciciKUS.txt","-a---","90294","05/20/2026 1:10:30 AM"
"ML-internbuildlogs-01.txt","C:\Users\speci.000\Downloads\ML-internbuildlogs-01.txt","-a---","69791","05/19/2026 8:51:02 PM"
"PsyTR","C:\Users\speci.000\Downloads\PsyTR","d----",,"05/19/2026 7:38:11 PM"
"revisionofsources.zip","C:\Users\speci.000\Downloads\revisionofsources.zip","-a---","377638","05/19/2026 7:37:25 PM"
"Papers","C:\Users\speci.000\Downloads\Papers","d----",,"05/19/2026 6:58:06 PM"
"ClaW01.txt","C:\Users\speci.000\Downloads\ClaW01.txt","-a---","2406","05/19/2026 8:48:04 AM"
"codexCUTTEDoptimizationwork-02.txt","C:\Users\speci.000\Downloads\codexCUTTEDoptimizationwork-02.txt","-a---","1365404","05/19/2026 7:36:08 AM"
"untitled.bib","C:\Users\speci.000\Downloads\untitled.bib","-a---","70303","05/19/2026 1:17:53 AM"
"untitled.ris","C:\Users\speci.000\Downloads\untitled.ris","-a---","317083","05/19/2026 1:17:34 AM"
"untitled.csv","C:\Users\speci.000\Downloads\untitled.csv","-a---","301654","05/19/2026 1:12:02 AM"
"DERDDRE-04.txt","C:\Users\speci.000\Downloads\DERDDRE-04.txt","-a---","65231","05/18/2026 11:14:15 PM"
"SLM-smol-research01.txt","C:\Users\speci.000\Downloads\SLM-smol-research01.txt","-a---","15557","05/18/2026 11:12:37 PM"
"memoryPLAN-01.md","C:\Users\speci.000\Downloads\memoryPLAN-01.md","-a---","5171","05/18/2026 8:26:18 PM"
"governor","C:\Users\speci.000\Downloads\governor","d----",,"05/18/2026 7:18:14 PM"
"team","C:\Users\speci.000\Downloads\team","d----",,"05/18/2026 7:14:00 PM"
"vault","C:\Users\speci.000\Downloads\vault","d----",,"05/18/2026 7:13:28 PM"
"ernie_mcp","C:\Users\speci.000\Downloads\ernie_mcp","d----",,"05/18/2026 7:09:04 PM"
"GREATPLAN-01.md","C:\Users\speci.000\Downloads\GREATPLAN-01.md","-a---","5353","05/18/2026 5:54:32 PM"
"files-d2f5095b.zip","C:\Users\speci.000\Downloads\files-d2f5095b.zip","-a---","12798","05/18/2026 1:00:23 PM"
