"Name","FullName","Mode","Length","LastWriteTime"
".git","C:\Users\speci.000\Documents\NEXUS\.git","d--h-",,"05/21/2026 12:12:59 AM"
"datasets","C:\Users\speci.000\Documents\NEXUS\datasets","d----",,"05/21/2026 12:12:15 AM"
"models","C:\Users\speci.000\Documents\NEXUS\models","d----",,"05/21/2026 12:11:06 AM"
"benchmarks","C:\Users\speci.000\Documents\NEXUS\benchmarks","d----",,"05/20/2026 11:43:06 PM"
"foundry_datasets","C:\Users\speci.000\Documents\NEXUS\foundry_datasets","d----",,"05/20/2026 11:42:03 PM"
"_tmp_run_guard_eval2.py","C:\Users\speci.000\Documents\NEXUS\_tmp_run_guard_eval2.py","-a---","2323","05/20/2026 11:04:06 PM"
"tests_tmp","C:\Users\speci.000\Documents\NEXUS\tests_tmp","d----",,"05/20/2026 7:21:12 PM"
"docs","C:\Users\speci.000\Documents\NEXUS\docs","d----",,"05/20/2026 6:17:45 PM"
"research","C:\Users\speci.000\Documents\NEXUS\research","d----",,"05/20/2026 6:16:13 PM"
"NEXUS.lnk","C:\Users\speci.000\Documents\NEXUS\NEXUS.lnk","-a---","840","05/20/2026 4:56:14 PM"
".session","C:\Users\speci.000\Documents\NEXUS\.session","d----",,"05/20/2026 4:56:02 PM"
"knowledge.md","C:\Users\speci.000\Documents\NEXUS\knowledge.md","-a---","7497","05/20/2026 2:39:40 PM"
"01_PROJECT_STATE.md","C:\Users\speci.000\Documents\NEXUS\01_PROJECT_STATE.md","-a---","7736","05/20/2026 2:39:33 PM"
"2026-05-20-alpha-branch-comparison.md","C:\Users\speci.000\Documents\NEXUS\2026-05-20-alpha-branch-comparison.md","-a---","2284","05/20/2026 1:16:37 PM"
"2026-05-20-pi-broken.md","C:\Users\speci.000\Documents\NEXUS\2026-05-20-pi-broken.md","-a---","3684","05/20/2026 1:04:55 PM"
"NEXUS_DOCKER_SECRET_HARDENING_2026-05-19.md","C:\Users\speci.000\Documents\NEXUS\NEXUS_DOCKER_SECRET_HARDENING_2026-05-19.md","-a---","2842","05/20/2026 1:04:30 PM"
"2026-05-18-011-docker-secret-hardening.task.md","C:\Users\speci.000\Documents\NEXUS\2026-05-18-011-docker-secret-hardening.task.md","-a---","7138","05/20/2026 12:39:50 PM"
"2026-05-18-010-docker-wsl-resource-optimization.task.md","C:\Users\speci.000\Documents\NEXUS\2026-05-18-010-docker-wsl-resource-optimization.task.md","-a---","7209","05/20/2026 12:39:42 PM"
"scripts","C:\Users\speci.000\Documents\NEXUS\scripts","d----",,"05/20/2026 7:10:26 AM"
"tests","C:\Users\speci.000\Documents\NEXUS\tests","d----",,"05/20/2026 7:06:02 AM"
"node_modules","C:\Users\speci.000\Documents\NEXUS\node_modules","d----",,"05/20/2026 6:00:45 AM"
