"priority","relation","kind","prefix","path","blob_size","sensitive_path_redacted","snapshot_blob"
"P2_untracked_intake_review","not_tracked_current_index","docs_or_research",".agents",".agents/skills/onboardingv2/README.md","5491","False","2197fbad4b29809999c068e354dd1d1c5457bf4c"
"P2_untracked_intake_review","not_tracked_current_index","docs_or_research",".agents",".agents/skills/onboardingv2/SKILL.md","29362","False","36478305ae9e72c215826037b9b014f0609eb1db"
"P2_untracked_intake_review","not_tracked_current_index","docs_or_research",".agents",".agents/skills/onboardingv2/mcp-configure/SKILL.md","14809","False","c4f6a8cb6fb94b9304c3d04417be7bd15fc7ee33"
"P2_untracked_intake_review","not_tracked_current_index","docs_or_research",".agents",".agents/skills/onboardingv2/mcp-configure/references/mcp-config-templates.md","8242","False","dfe87436d9c0486521e772de8f1fd279eda6d166"
"P2_untracked_intake_review","not_tracked_current_index","docs_or_research",".agents",".agents/skills/onboardingv2/mcp-configure/references/mcp-ui-links.md","3693","False","5e059af7be0a6a6827942af587e64fbe9d0d49a8"
"P2_untracked_intake_review","not_tracked_current_index","docs_or_research",".agents",".agents/skills/onboardingv2/references/1.8-summary.md","7750","False","1ca75c3da7d3c84c2419d2ccf9ef77499157abb4"
"P2_untracked_intake_review","not_tracked_current_index","docs_or_research",".agents",".agents/skills/onboardingv2/references/1.9-editor-rules.md","10834","False","feedccc16cc81b69139dc50d1121e37e0f51723c"
"P2_untracked_intake_review","not_tracked_current_index","docs_or_research",".agents",".agents/skills/onboardingv2/references/sdk/recipes.md","24065","False","ff25a7993b876ecfebe2cf414698b79bc12a7832"
"P2_untracked_intake_review","not_tracked_current_index","docs_or_research",".agents",".agents/skills/onboardingv2/references/sdk/snippets/android-client-sdk.md","4253","False","7434939fc0c4674afc16e5ef6dc09defa48bfdc2"
"P2_untracked_intake_review","not_tracked_current_index","docs_or_research",".agents",".agents/skills/onboardingv2/references/sdk/snippets/apex-server-sdk.md","750","False","3a5e4aa7ac4df4a2fc8857bde627a79c2bd88eba"
"P2_untracked_intake_review","not_tracked_current_index","docs_or_research",".agents",".agents/skills/onboardingv2/references/sdk/snippets/browser-frameworks-sdk.md","1079","False","ebc8f0159befebc6bdffa4d0c2f116de57c5bdff"
"P2_untracked_intake_review","not_tracked_current_index","docs_or_research",".agents",".agents/skills/onboardingv2/references/sdk/snippets/cpp-client-sdk.md","969","False","41624d598b87870b6345162c3df8227985e75d80"
"P2_untracked_intake_review","not_tracked_current_index","docs_or_research",".agents",".agents/skills/onboardingv2/references/sdk/snippets/cpp-server-sdk.md","728","False","1558c2999871ecd1e672f37da64912df89d93ccd"
"P2_untracked_intake_review","not_tracked_current_index","docs_or_research",".agents",".agents/skills/onboardingv2/references/sdk/snippets/dotnet-client-sdk.md","1240","False","baf3d5d277740120822b9b0f3aefbad2550ec9c3"
"P2_untracked_intake_review","not_tracked_current_index","docs_or_research",".agents",".agents/skills/onboardingv2/references/sdk/snippets/dotnet-server-sdk.md","3524","False","57e50e73534a099bb07190a2c1b0dff1a24f51a8"
"P2_untracked_intake_review","not_tracked_current_index","docs_or_research",".agents",".agents/skills/onboardingv2/references/sdk/snippets/edge-sdks.md","1943","False","8f7ed44168602ab0acc8bed6d17f533027ac7d27"
"P2_untracked_intake_review","not_tracked_current_index","docs_or_research",".agents",".agents/skills/onboardingv2/references/sdk/snippets/electron-client-sdk.md","908","False","7f59a62433535f10bf5088e13be4434ec865ed6f"
"P2_untracked_intake_review","not_tracked_current_index","docs_or_research",".agents",".agents/skills/onboardingv2/references/sdk/snippets/erlang-server-sdk.md","889","False","661e37691f29488184c57c7f0aabf4c092faaae8"
"P2_untracked_intake_review","not_tracked_current_index","docs_or_research",".agents",".agents/skills/onboardingv2/references/sdk/snippets/flutter-client-sdk.md","1304","False","d847a0db1c34057e4016969526bf68534e3c5888"
"P2_untracked_intake_review","not_tracked_current_index","docs_or_research",".agents",".agents/skills/onboardingv2/references/sdk/snippets/go-server-sdk.md","2245","False","26d47c4601ba57ed10f035a04696c1f699dc6610"
"P2_untracked_intake_review","not_tracked_current_index","docs_or_research",".agents",".agents/skills/onboardingv2/references/sdk/snippets/haskell-server-sdk.md","919","False","df4db0accbe3b851b685a110c0a1bc862222cd1f"
"P2_untracked_intake_review","not_tracked_current_index","docs_or_research",".agents",".agents/skills/onboardingv2/references/sdk/snippets/ios-client-sdk.md","4782","False","c733289321a7bb92a2f3ffeba8f01008001bf063"
"P2_untracked_intake_review","not_tracked_current_index","docs_or_research",".agents",".agents/skills/onboardingv2/references/sdk/snippets/java-server-sdk.md","3587","False","c872acb630195bce0f33bc2c5fceeea250147f1e"
"P2_untracked_intake_review","not_tracked_current_index","docs_or_research",".agents",".agents/skills/onboardingv2/references/sdk/snippets/javascript-browser-sdk.md","2747","False","1cb1750c626e230458d83b351b12de44e2fceba3"
"P2_untracked_intake_review","not_tracked_current_index","docs_or_research",".agents",".agents/skills/onboardingv2/references/sdk/snippets/lua-server-sdk.md","1054","False","eac2b9f11ced74bf2b320ec6880fc8bb4005bdd2"
"P2_untracked_intake_review","not_tracked_current_index","docs_or_research",".agents",".agents/skills/onboardingv2/references/sdk/snippets/node-client-sdk.md","1017","False","e1144ed7accb061b397540109129e1f3e8148114"
"P2_untracked_intake_review","not_tracked_current_index","docs_or_research",".agents",".agents/skills/onboardingv2/references/sdk/snippets/node-server-sdk.md","3008","False","505f96fe8790249515e4184f0ada6440dacf44e2"
"P2_untracked_intake_review","not_tracked_current_index","docs_or_research",".agents",".agents/skills/onboardingv2/references/sdk/snippets/php-server-sdk.md","847","False","52557cfa2c11a1cb90b07cb4376866e8b2b92ba7"
"P2_untracked_intake_review","not_tracked_current_index","docs_or_research",".agents",".agents/skills/onboardingv2/references/sdk/snippets/python-server-sdk.md","2921","False","a7d413f863a7913bffa3db14919a7f427f569ab8"
"P2_untracked_intake_review","not_tracked_current_index","docs_or_research",".agents",".agents/skills/onboardingv2/references/sdk/snippets/react-native-sdk.md","2916","False","701bfbccbc98ea393d6f6520dcecee164886cd83"
"P2_untracked_intake_review","not_tracked_current_index","docs_or_research",".agents",".agents/skills/onboardingv2/references/sdk/snippets/react-web-sdk.md","2911","False","e6fd97267ce5411ee310d2800e243a48cd80827d"
"P2_untracked_intake_review","not_tracked_current_index","docs_or_research",".agents",".agents/skills/onboardingv2/references/sdk/snippets/roku-client-sdk.md","718","False","4ca5cbdbbd13aa48870da8ee066ee3c18e90493a"
"P2_untracked_intake_review","not_tracked_current_index","docs_or_research",".agents",".agents/skills/onboardingv2/references/sdk/snippets/ruby-server-sdk.md","934","False","6f37807970a9b47adca5dbd797103e95f5027e07"
"P2_untracked_intake_review","not_tracked_current_index","docs_or_research",".agents",".agents/skills/onboardingv2/references/sdk/snippets/rust-server-sdk.md","866","False","64a4c168c6ea3de92ffdd753e6082aace7f7d8e5"
"P2_untracked_intake_review","not_tracked_current_index","docs_or_research",".agents",".agents/skills/onboardingv2/references/sdk/snippets/vue-client-sdk.md","765","False","cb85a8ace62009a3ce116c13812b46f076f2c16e"
