risk,proposed_action,path,prefix,kind,priority,live_bytes,snapshot_blob_size,byte_relation,tracked_relation,exists_now,extension,disposition,sha256,actual_bytes,release_gate_status,release_gate_high,release_gate_medium,release_gate_errors
P2_model_asset,model_registry_or_D_archive_do_not_git_track_weights,models/Modelfile.lfm25,models,model_or_weight,P3_untracked_preserve_or_ignore,714,714,live_differs_from_snapshot_untracked,not_tracked_current_index,True,.lfm25,model_registry_or_d_archive_no_blind_git_tracking,25669ac46cebbe9c8c650f6b6319b7ba5488a61a5bf182e480bfbffdd5840862,714,PASS,0,0,0
P2_model_asset,model_registry_or_D_archive_do_not_git_track_weights,models/Modelfile.neo-t-virus,models,model_or_weight,P3_untracked_preserve_or_ignore,710,710,live_differs_from_snapshot_untracked,not_tracked_current_index,True,.neo-t-virus,model_registry_or_d_archive_no_blind_git_tracking,fa11dfae0f0646e398e1fc7cf2644ae011e1416aeb97e91a08f99333bc1402f9,710,PASS,0,0,0
P2_model_asset,model_registry_or_D_archive_do_not_git_track_weights,models/Modelfile.special-virus,models,model_or_weight,P3_untracked_preserve_or_ignore,724,724,live_differs_from_snapshot_untracked,not_tracked_current_index,True,.special-virus,model_registry_or_d_archive_no_blind_git_tracking,afc354cc0cd4f37597af2ed0e7f43d8030781658866287b921f014a5baa01432,724,PASS,0,0,0
P2_model_asset,model_registry_or_D_archive_do_not_git_track_weights,models/chat_template.jinja,models,model_or_weight,P3_untracked_preserve_or_ignore,2561,2561,live_differs_from_snapshot_untracked,not_tracked_current_index,True,.jinja,model_registry_or_d_archive_no_blind_git_tracking,8aa40ce145adb73cb3a75194dc0224702a95850ec5275cabb728496bbd749fc6,2561,PASS,0,0,0
P2_model_asset,model_registry_or_D_archive_do_not_git_track_weights,models/gemma2-2b-abliterated/chat_template.jinja,models,model_or_weight,P3_untracked_preserve_or_ignore,594,594,live_differs_from_snapshot_untracked,not_tracked_current_index,True,.jinja,model_registry_or_d_archive_no_blind_git_tracking,f2bced8fd992f22f081f65a5bdc4319d41c30c823e1ebde3cfe22b9e5447b426,594,PASS,0,0,0
P2_model_asset,model_registry_or_D_archive_do_not_git_track_weights,models/gemma2-2b-abliterated_tokenizer/chat_template.jinja,models,model_or_weight,P3_untracked_preserve_or_ignore,594,594,live_differs_from_snapshot_untracked,not_tracked_current_index,True,.jinja,model_registry_or_d_archive_no_blind_git_tracking,f2bced8fd992f22f081f65a5bdc4319d41c30c823e1ebde3cfe22b9e5447b426,594,PASS,0,0,0
P2_model_asset,model_registry_or_D_archive_do_not_git_track_weights,models/qwen-abliterated-simple/chat_template.jinja,models,model_or_weight,P3_untracked_preserve_or_ignore,2481,2481,live_differs_from_snapshot_untracked,not_tracked_current_index,True,.jinja,model_registry_or_d_archive_no_blind_git_tracking,7215110d1460d6dfdb8ed5bbc3f18b1772cc270404795c331bc0adc266a75008,2481,PASS,0,0,0
P2_model_asset,model_registry_or_D_archive_do_not_git_track_weights,models/qwen2.5-1.5b-guard-lora/chat_template.jinja,models,model_or_weight,P3_untracked_preserve_or_ignore,2561,2561,live_differs_from_snapshot_untracked,not_tracked_current_index,True,.jinja,model_registry_or_d_archive_no_blind_git_tracking,8aa40ce145adb73cb3a75194dc0224702a95850ec5275cabb728496bbd749fc6,2561,PASS,0,0,0
P2_model_asset,model_registry_or_D_archive_do_not_git_track_weights,models/qwen2.5-1.5b-guard-lora/checkpoint-100/chat_template.jinja,models,model_or_weight,P3_untracked_preserve_or_ignore,2561,2561,live_differs_from_snapshot_untracked,not_tracked_current_index,True,.jinja,model_registry_or_d_archive_no_blind_git_tracking,8aa40ce145adb73cb3a75194dc0224702a95850ec5275cabb728496bbd749fc6,2561,PASS,0,0,0
P2_model_asset,model_registry_or_D_archive_do_not_git_track_weights,models/qwen2.5-1.5b-guard-lora/checkpoint-200/chat_template.jinja,models,model_or_weight,P3_untracked_preserve_or_ignore,2561,2561,live_differs_from_snapshot_untracked,not_tracked_current_index,True,.jinja,model_registry_or_d_archive_no_blind_git_tracking,8aa40ce145adb73cb3a75194dc0224702a95850ec5275cabb728496bbd749fc6,2561,PASS,0,0,0
P2_model_asset,model_registry_or_D_archive_do_not_git_track_weights,models/qwen2.5-1.5b-guard-merged/chat_template.jinja,models,model_or_weight,P3_untracked_preserve_or_ignore,2561,2561,live_differs_from_snapshot_untracked,not_tracked_current_index,True,.jinja,model_registry_or_d_archive_no_blind_git_tracking,8aa40ce145adb73cb3a75194dc0224702a95850ec5275cabb728496bbd749fc6,2561,PASS,0,0,0
P3_manual,review_script_then_track_or_archive,benchmarks/custom_evaluators.py,benchmarks,source_or_script,P2_untracked_intake_review,15229,15229,live_differs_from_snapshot_untracked,not_tracked_current_index,True,.py,preserve_research_tooling_review_before_tracking,8c871c60fa36df10c95192ee8eab7113ce639b67010857fea1dd2d12a423ea0d,15229,PASS,0,0,0
P3_manual,review_script_then_track_or_archive,benchmarks/mixed content/evaluate_model.py,benchmarks,source_or_script,P2_untracked_intake_review,2001,2001,live_differs_from_snapshot_untracked,not_tracked_current_index,True,.py,preserve_research_tooling_review_before_tracking,a6e009cec1c3b48fe363713aac7a73fe01b61db691b5c6169e2e3ad732345d78,2001,PASS,0,0,0
P3_manual,review_script_then_track_or_archive,benchmarks/mixed content/generate_data.py,benchmarks,source_or_script,P2_untracked_intake_review,2410,2410,live_differs_from_snapshot_untracked,not_tracked_current_index,True,.py,preserve_research_tooling_review_before_tracking,b75833414a152fc81b1b45da6b0fd7e40597f9f8e99607e2597ee2d67a75e4e4,2410,PASS,0,0,0
P3_manual,review_script_then_track_or_archive,benchmarks/mixed content/malicious_instruction_generator.py,benchmarks,source_or_script,P2_untracked_intake_review,5895,5895,live_differs_from_snapshot_untracked,not_tracked_current_index,True,.py,preserve_research_tooling_review_before_tracking,0098297e4a799137e446e70e0191efa00a119f18a8944e7abb61575302847585,5895,PASS,0,0,0
P3_manual,review_script_then_track_or_archive,benchmarks/mixed content/repo.py,benchmarks,source_or_script,P2_untracked_intake_review,580,580,live_differs_from_snapshot_untracked,not_tracked_current_index,True,.py,preserve_research_tooling_review_before_tracking,ffcbb4c86c36f58530c4eef8852095e9862c748422ebee3b10810c4fdbb5eec8,580,PASS,0,0,0
P3_manual,review_script_then_track_or_archive,benchmarks/mixed content/train.py,benchmarks,source_or_script,P2_untracked_intake_review,2608,2608,live_differs_from_snapshot_untracked,not_tracked_current_index,True,.py,preserve_research_tooling_review_before_tracking,652926c942baa8ec01aa52861645cd6a50b57e50fbdf3ba9a48697b17bb9f35d,2608,PASS,0,0,0
P3_manual,review_script_then_track_or_archive,benchmarks/register_foundry_datasets.py,benchmarks,source_or_script,P2_untracked_intake_review,16230,16230,live_differs_from_snapshot_untracked,not_tracked_current_index,True,.py,preserve_research_tooling_review_before_tracking,46d8e35738461e559740504e699643d876497ffb778c4c1a3091147c2b960fa9,16230,PASS,0,0,0
P3_manual,review_script_then_track_or_archive,benchmarks/stress_lab/nexus_governance_score.py,benchmarks,source_or_script,P2_untracked_intake_review,2658,2658,live_differs_from_snapshot_untracked,not_tracked_current_index,True,.py,preserve_research_tooling_review_before_tracking,8ab8c4034e73ff5dd467af46fbb2485090fe09c565af27eb0c7c668cd7af04f8,2658,PASS,0,0,0
P3_manual,review_script_then_track_or_archive,datasets/_check_encoding.py,datasets,source_or_script,P2_untracked_intake_review,533,533,live_differs_from_snapshot_untracked,not_tracked_current_index,True,.py,preserve_research_tooling_review_before_tracking,9d0d251ecdba9019d31e4bc67745775f855b4eb3334fd067c27e963a8db8c889,533,PASS,0,0,0
P3_manual,review_script_then_track_or_archive,datasets/bench_mutated.py,datasets,source_or_script,P2_untracked_intake_review,3784,3784,live_differs_from_snapshot_untracked,not_tracked_current_index,True,.py,preserve_research_tooling_review_before_tracking,3fc74af5f07b0f5a57cd12b70c49e984b99938048ac9f13c4425d133ad8fd144,3784,PASS,0,0,0
